study_id,series_id,image_id,save_name,shape,shape_crop,window,crop_starts,photometric_interpreation,series_number,instance_number
5776db0cec75,81456c9c5423,000a312787f2,5776db0cec75_000a312787f2.png,"(3488, 4256)","(3487, 4255)","(26.0, 3495.0)","(0, 0)",MONOCHROME2,1,1
ff0879eb20ed,d8a644cc4f93,000c3a3f293f,ff0879eb20ed_000c3a3f293f.png,"(2320, 2832)","(2320, 2832)","(63.0, 241.0)","(0, 0)",MONOCHROME2,1,1
9d514ce429a7,22897cd1daa0,0012ff7358bc,9d514ce429a7_0012ff7358bc.png,"(2544, 3056)","(2540, 3052)","(18.0, 3154.0)","(4, 0)",MONOCHROME2,1,1
28dddc8559b2,4d47bc042ee6,001398f4ff4f,28dddc8559b2_001398f4ff4f.png,"(3520, 4280)","(3503, 4280)","(41.0, 4038.0)","(0, 0)",MONOCHROME1,1002,1002
dfd9fdd85a3e,49170afa4f27,001bd15d1891,dfd9fdd85a3e_001bd15d1891.png,"(2800, 3408)","(2800, 3408)","(1363.0, 14900.0)","(0, 0)",MONOCHROME1,1,1
84543edc24c2,82f65ab98ee0,0022227f5adf,84543edc24c2_0022227f5adf.png,"(2539, 3050)","(2539, 3050)","(50.0, 3649.0)","(0, 0)",MONOCHROME2,1,1
2fa400b873f5,0d5c637b277d,0023f02ae886,2fa400b873f5_0023f02ae886.png,"(2330, 2846)","(2330, 2846)","(26.0, 3521.0)","(0, 0)",MONOCHROME2,1,1
0717c8ac304f,849b8c217a5e,002e9b2128d0,0717c8ac304f_002e9b2128d0.png,"(2416, 2872)","(2276, 2872)","(33.0, 218.0)","(70, 0)",MONOCHROME2,,
a81050391441,85b77baa8ffe,00326161e51e,a81050391441_00326161e51e.png,"(2336, 2836)","(2336, 2836)","(2965.4300000000076, 14663.0)","(0, 0)",MONOCHROME1,1,1
b60f2d2cc642,72527a76d460,0044e449aae1,b60f2d2cc642_0044e449aae1.png,"(2336, 2836)","(2336, 2836)","(2054.0, 14950.0)","(0, 0)",MONOCHROME1,1,1
4d7a2748dfb1,49f74cf4cbad,0049814626c8,4d7a2748dfb1_0049814626c8.png,"(3480, 4248)","(3480, 4246)","(116.0, 3536.0)","(0, 0)",MONOCHROME2,1,1
30e45593ba08,c5c0a57e6e4c,004cbd797cd1,30e45593ba08_004cbd797cd1.png,"(2991, 2992)","(2991, 2991)","(13.0, 2745.0)","(0, 0)",MONOCHROME2,1,1
