id,PredictionString,negative,typical,indeterminate,atypical
00086460a852_study,negative 0.0489 0 0 1 1 typical 0.4305 0 0 1 1 indeterminate 0.3232 0 0 1 1 atypical 0.1973 0 0 1 1,0.048934598,0.43052265,0.323196,0.19734678
000c9c05fd14_study,negative 0.0275 0 0 1 1 typical 0.0009 0 0 1 1 indeterminate 0.0054 0 0 1 1 atypical 0.9662 0 0 1 1,0.02752876,0.00092174136,0.005392628,0.9661569
00292f8c37bd_study,negative 0.792 0 0 1 1 typical 0.056 0 0 1 1 indeterminate 0.1334 0 0 1 1 atypical 0.0185 0 0 1 1,0.7920461,0.056033123,0.13342878,0.018491976
005057b3f880_study,negative 0.9194 0 0 1 1 typical 0.0258 0 0 1 1 indeterminate 0.0456 0 0 1 1 atypical 0.0093 0 0 1 1,0.91937596,0.025758479,0.045581993,0.009283549
0051d9b12e72_study,negative 0.2556 0 0 1 1 typical 0.3428 0 0 1 1 indeterminate 0.2466 0 0 1 1 atypical 0.155 0 0 1 1,0.2555999,0.34276935,0.2466042,0.15502654
00792b5c8852_study,negative 0.9151 0 0 1 1 typical 0.032 0 0 1 1 indeterminate 0.0409 0 0 1 1 atypical 0.0119 0 0 1 1,0.9151303,0.032049056,0.04091192,0.011908663
00908ffd2d08_study,negative 0.7027 0 0 1 1 typical 0.1479 0 0 1 1 indeterminate 0.1227 0 0 1 1 atypical 0.0268 0 0 1 1,0.70267195,0.1478532,0.12265985,0.02681509
009bc005edaa_study,negative 0.0064 0 0 1 1 typical 0.2504 0 0 1 1 indeterminate 0.2579 0 0 1 1 atypical 0.4853 0 0 1 1,0.006430918,0.250393,0.25789627,0.48527983
00a76543ed93_study,negative 0.5737 0 0 1 1 typical 0.2292 0 0 1 1 indeterminate 0.1757 0 0 1 1 atypical 0.0215 0 0 1 1,0.5736619,0.22921832,0.17566007,0.021459715
00a87235ca36_study,negative 0.0525 0 0 1 1 typical 0.7218 0 0 1 1 indeterminate 0.1797 0 0 1 1 atypical 0.046 0 0 1 1,0.05247193,0.72179866,0.17974025,0.04598917
00b33b3eb8d9_study,negative 0.1717 0 0 1 1 typical 0.5427 0 0 1 1 indeterminate 0.2526 0 0 1 1 atypical 0.0331 0 0 1 1,0.1716873,0.5426533,0.2525827,0.033076692
00c241c3fc0d_study,negative 0.6827 0 0 1 1 typical 0.0597 0 0 1 1 indeterminate 0.1797 0 0 1 1 atypical 0.0779 0 0 1 1,0.6826562,0.05971933,0.17967515,0.07794926
00c74279c5b7_study,negative 0.899 0 0 1 1 typical 0.0232 0 0 1 1 indeterminate 0.0628 0 0 1 1 atypical 0.015 0 0 1 1,0.89901555,0.023243478,0.06277556,0.014965397
00c83e33588f_study,negative 0.4924 0 0 1 1 typical 0.089 0 0 1 1 indeterminate 0.2676 0 0 1 1 atypical 0.151 0 0 1 1,0.49239102,0.088965766,0.2676284,0.15101478
00ccd633fb0e_study,negative 0.822 0 0 1 1 typical 0.0676 0 0 1 1 indeterminate 0.0973 0 0 1 1 atypical 0.0131 0 0 1 1,0.82195175,0.0676423,0.097267434,0.013138521
00e936c58da6_study,negative 0.864 0 0 1 1 typical 0.0576 0 0 1 1 indeterminate 0.0604 0 0 1 1 atypical 0.018 0 0 1 1,0.86397696,0.057627056,0.06043158,0.017964385
00f9e183938e_study,negative 0.3276 0 0 1 1 typical 0.3935 0 0 1 1 indeterminate 0.2143 0 0 1 1 atypical 0.0645 0 0 1 1,0.32762462,0.39353174,0.21433571,0.064507924
00fceac64e6a_study,negative 0.0951 0 0 1 1 typical 0.5604 0 0 1 1 indeterminate 0.2291 0 0 1 1 atypical 0.1153 0 0 1 1,0.095136315,0.5604242,0.22911806,0.11532143
00febcfee50b_study,negative 0.3299 0 0 1 1 typical 0.0426 0 0 1 1 indeterminate 0.4033 0 0 1 1 atypical 0.2241 0 0 1 1,0.3299405,0.042633764,0.40329054,0.22413515
011475cb6db4_study,negative 0.9384 0 0 1 1 typical 0.0233 0 0 1 1 indeterminate 0.0342 0 0 1 1 atypical 0.0042 0 0 1 1,0.93842864,0.023250243,0.03415161,0.004169497
01206a422293_study,negative 0.0001 0 0 1 1 typical 0.8983 0 0 1 1 indeterminate 0.0877 0 0 1 1 atypical 0.0139 0 0 1 1,7.462424e-05,0.8983325,0.08770862,0.013884265
012229ebd9b3_study,negative 0.79 0 0 1 1 typical 0.0815 0 0 1 1 indeterminate 0.0967 0 0 1 1 atypical 0.0318 0 0 1 1,0.79000217,0.08153349,0.096710525,0.031753775
